Customer Name,CRON ID,Internal Dashboard ID,Analytics Email,Analytics,Facebook,Pixel,Google,Bing,CSM,Google Ad Ops Manager,Facebook Ad Ops Manager
Dryden GM,drydengm,602e21cfc2954e001e38c315,marshalsmedia@gmail.com,UA-19380512-1,958806264157337,533037150192752,503-930-9378,156003017,Grant Criddle,Umer Khan,Esperanza San Jose
Dueck Downtown GM,dueckdowntown,602e26a4c2954e001e38ce85,smediaanalytic@gmail.com,UA-141626127-49,2330409347207926,862727714113252,,,Devin Howell-Shiplack,,Kryzelle Campus
Dueck GM on Marine,dueckonmarine,602e26a8c2954e001e38ce8e,smediaanalytic@gmail.com,UA-141626127-50,1265980763582667,377164136269135,,,Devin Howell-Shiplack,,Kryzelle Campus
Dueck Richmond,dueckrichmond,602e26acc2954e001e38ce97,smediaanalytic@gmail.com,UA-141626127-48,483557405729183,458054134988491,,,Devin Howell-Shiplack,,Kryzelle Campus
Eagle Ridge Chevrolet Buick GMC,eagleridgegm,602e2282c2954e001e38c4e1,smediaanalytic@gmail.com,UA-29268631-1,1424259814278644,456498321388888,163-396-9643,,Grant Criddle,Umer Khan,Arnel Ditona
Eastside Kia,eastsidekiaca,602e2c0bc2954e001e38da2c,smediaanalytic@gmail.com,UA-141626127-7,,,,,Ryan Yuhasz,,Nhoel Ditona
Echo Valley Motor Products,echovalleygm,602e24ebc2954e001e38ca8e,smediaanalytic@gmail.com,UA-130939443-32,345003672894605,1880346758743640,939-726-0009,,Grant Criddle,Umer Khan,Arnel Ditona
Economy Wheels Nissan,lindsaynissan,602e2706c2954e001e38cf5a,smediaanalytic@gmail.com,UA-143782155-40,579015086228565,456164668661658,,,Ryan Yuhasz,,Nhoel Ditona
Edwards Garage Chevrolet Buick GMC,edwardsgarage,602e2288c2954e001e38c4ed,smediaanalytic@gmail.com,UA-34543195-1,1418432584861367,479491829053540,556-377-2536,,Grant Criddle,Umer Khan,Arnel Ditona
Efird Chrysler Jeep Dodge,efirdchryslerjeepdodgecom,602e2a91c2954e001e38d72f,smediaanalytic@gmail.com,UA-169324917-35,279070260117094,266566328098202,,,Ryan Yuhasz,,Nhoel Ditona
Elite Auto Centre,eliteautocentre,602e2651c2954e001e38cdd6,smediaanalytic@gmail.com,UA-141626127-16,332935080714663,896576297366206,,,Kaleah Baker,,Kryzelle Campus
Embrun Ford,embrunford,602e2827c2954e001e38d1e0,smediaanalytic@gmail.com,UA-148906878-49,967867440243461,976741302693516,557-962-0225,,Ryan Yuhasz,Homi Khan,Nhoel Ditona
Energy Dodge Chrysler Jeep Ram,energydodge,602e2550c2954e001e38cb84,smediaanalytic@gmail.com,UA-134636584-36,2332174517017797,837927476556542,361-783-4542,,Ryan Yuhasz,Homi Khan,Nhoel Ditona
Enns Brothers,ennsbrotherscom,,,"UA-185710316-4	",182101036981660,697159541171443,,,,,
Ens Lexus,enslexus,602e264cc2954e001e38cdcb,smediaanalytic@gmail.com,UA-141626127-10,958808247490472,1634040220181612,,,Devin Howell-Shiplack,,Kryzelle Campus
Ens Toyota,enstoyota,602e23edc2954e001e38c83d,smediaanalytic@gmail.com,UA-118985773-17,958809577490339,1710831755795370,,,Devin Howell-Shiplack,,Kryzelle Campus
Erin Mills Mazda,erinmillsmazda,5fb6cfdb4a7927001d9f8c5a,smediaanalytic@gmail.com,UA-130939443-46,2006313506131891,2273963592927851,954-929-6462,156003642,Ryan Yuhasz,Homi Khan,Nhoel Ditona
Escondido Auto Super Center,escoauto,602e26c0c2954e001e38cec4,smediaanalytic@gmail.com,UA-143782155-7,728080884332275,488064385281225,386-001-0505,,Kaleah Baker,Umer Khan,Esperanza San Jose
Essendon Ford,essendonfordcomau,,,,,,,,,,
Essendon Mitsubishi,essendonmitsubishicomau,,,,,,,,,,
Essendon Nissan,essendonnissancomau,,,,,,,,,,
Estevan Motors LTD,estevanmotors,,smediaanalytic@gmail.com,UA-146366686-28,2353195021607400,2625238717521417,913-873-3864,,Curtis Paradis,,
Excel Advertising,,,,,,,,156003925,Corbin Senchuk,,
Farm World,farmworld,602e2423c2954e001e38c8b8,smediawebmastertool@gmail.com,UA-107116176-39,985621251635828,336304703619568,279-855-3446,,Devin Howell-Shiplack,Homi Khan,Kryzelle Campus
Fedderly Chrysler Dodge Jeep,fedderlychryslerdodgejeep,602e2478c2954e001e38c979,smediaanalytic@gmail.com,UA-118985773-44,2105783146402713,312787915980988,434-979-3525,,Kaleah Baker,,
Fernie Chrysler,ferniechrysler,602e2537c2954e001e38cb47,smediaanalytic@gmail.com,UA-134636584-25,377737349764428,276501846571949,,,Kaleah Baker,,Esperanza San Jose
Field of RV Dreams,fieldofrvdreamscom,,,"UA-190651803-46	",200772531816556,299457950997335,,,,,
Findlay Auto Group - Findlay Volkswagen Flagstaff,findlayvolkswagenflagstaffcom,,,"UA-185710316-15	",759093981465009,1994652074142017,,,,,
Findlay Chrysler Jeep Dodge Ram Idaho,postfallschryslerjeepdodgeram,602e26c5c2954e001e38ced0,smediaanalytic@gmail.com,UA-143782155-8,355451931795908,437556076857904,,156004034,Ryan Yuhasz,,Nhoel Ditona
FlexiBuy,flexibuycomau,,,,,,,,,,
FlexiGo,flexigocomau,,,,,,,,,,
Fluid Clarification,fluidclarification,602e23e8c2954e001e38c834,,,,,696-318-3962,,,Homi Khan,
Folsom Lake GMC,folsombuickgmc,,smediaanalytic@gmail.com,UA-137985131-45,702264770192769,413627376124657,,,Ryan Yuhasz,,Nhoel Ditona
Forbes Kia Bridgewater,forbeskiabridgewaterca,,,"UA-190651803-65	",138405724927260,829112337266947,,,,,
Fort Frances GM,fortfrancesgm,602e273cc2954e001e38cfce,smediaanalytic@gmail.com,UA-146366686-7,357153135160541,2496784147050050,298-616-7164,156002977,Grant Criddle,Umer Khan,Esperanza San Jose
Fort Motors,fortmotorsca,,,"UA-137985131-27	",276435939968309,589318328248806,,,,,
Framemasters Gallery,framemastersgallery,602e241ec2954e001e38c8ae,,,190234931891779,,202-095-1221,,,Homi Khan,
Frank Dunn RV Sales,frankdunntrailersales,602e255bc2954e001e38cb9b,smediaanalytic@gmail.com,UA-134636584-39,2317847155159848,2198311440421166,,,Devin Howell-Shiplack,,Kryzelle Campus
Frank Dunn Toyota,frankdunntoyota,602e24cfc2954e001e38ca49,smediaanalytic@gmail.com,UA-130939443-23,223092568634824,345526356046564,296-079-8664,,Devin Howell-Shiplack,,Kryzelle Campus
Frank Leta Acura,frankletaacuracom,602e2a1fc2954e001e38d635,smediaanalytic@gmail.com,UA-28126328-1,898975987241204,550812385624450,,,Devin Howell-Shiplack,,Kryzelle Campus
Frank Leta Honda,frankletahondacom,602e2a25c2954e001e38d640,smediaanalytic@gmail.com,UA-13032665-1,732261954183944,241516347060652,,,Devin Howell-Shiplack,,Kryzelle Campus
Freedom Buick GMC Truck,freedombg,602e2569c2954e001e38cbbc,smediaanalytic@gmail.com,UA-137985131-3,731868060868218,457618535263214,,,,,Kryzelle Campus
Fritts Ford,frittsford,602e2332c2954e001e38c68b,smediawebmastertool@gmail.com,UA-111241337-14,1564496616921629,2039137206354266,,,Grant Criddle,,
Fuso Brisbane,fusobrisbanecomau,,,,,,,,,,
Georgian Chevrolet Buick GMC,georgianchevrolet,602e21dec2954e001e38c338,marshalsmedia@gmail.com,UA-42553815-40,1068245406546755,1065603753520043,479-206-4590,156003034,Grant Criddle,Umer Khan,Esperanza San Jose
Get-Away RV Centre,getawayrv,,smediaanalytic@gmail.com,UA-134636584-18,438106433597459,364035694199359,,,Kaleah Baker,,Kryzelle Campus
Gladstone Mitsubishi,gladstonemitsubishicom,,,"UA-159081726-39	",,,,,,,
Goben Cars,gobencarscom,602e29bcc2954e001e38d559,smediaanalytic@gmail.com,UA-159081726-31,2957646247659958,669081513888134,148-106-8698,,Ryan Yuhasz,Homi Khan,Nhoel Ditona
GR Chevrolet Buick GMC Cadillac,gmcarsbynelson,602e2350c2954e001e38c6d0,smediawebmastertool@gmail.com,UA-111241337-40,1595369960500961,139974753337081,362-028-9595,156003423,Grant Criddle,Umer Khan,Arnel Ditona
Grande Prairie Honda,grandeprairiehonda,602e27f4c2954e001e38d16e,smediaanalytic@gmail.com,UA-148906878-22,1014060285691668,614061592814163,703-478-1944,,Erin Richmond,Umer Khan,Arnel Ditona
Grande Prairie Hyundai,gphyundaicom,,,"UA-179984697-39	",,,,,,,
Grande Prairie VW,gpvolkswagenca,,,UA-171699954-71        ,,,,,,,
Grande Prairie Wheaton Cadillac,gpcadillaccom,,smediaanalytic@gmail.com,UA-190651803-51,301966864651990,332847770561745,364-799-0976,,,,
Great North GM,greatnorthgm,602e19d7c2954e001e3783b0,smediawebmastertool@gmail.com,UA-83254413-1,1115130251858270,246520919081121,382-274-1753,,Kaleah Baker,,
Grey Motors Mazda,greymotors,,,UA-6982478-1,,1667360330203811,692-853-6721,,,,
Gulf Chrysler Dodge Jeep,gulfchryslerdodgejeep,5e9770161033fe0e3268fd5a,smediaanalytic@gmail.com,UA-52450387-1,1088562878199379,410250632796192,,,Ryan Yuhasz,,Nhoel Ditona
Gus Revenberg Auto Group-Gus Revenberg Chevrolet Buick GMC,gusrevenbergcom,,,"UA-185710316-29	",180870900450846,422839885806881,,,,,
Gus Revenberg Kia,gusrevenbergkiacom,,,"UA-190651803-16	",4139366406087813,259003054468086,,,,,
Habberstad AG - Habberstad BMW of Bay Shore,habberstadbmwofbayshorecom,,,"UA-190651803-48	",325154529042796,1522634344519662,,,,,
Habberstad AG - Habberstad BMW of Huntington,habberstadbmwofhuntingtoncom,,,"UA-190651803-49	",205711904411340,1219662788137323,,,,,
Hallman Cadillac,hallmancadillaccom,,,"UA-190651803-64	",299490128360573,1518237894997652,205-401-9397,,,,
Hallman GM,hallmangmcom,602e2a5ac2954e001e38d6b5,smediaanalytic@gmail.com,UA-167380325-37,3119626481436457,2375265039433170,764-426-4135,,,Umer Khan,Nhoel Ditona
Hammer Chevrolet,hammerchevy,602e21e3c2954e001e38c346,smediawebmastertool@gmail.com,UA-96122244-26,1347935745244385,1441404455912083,,,Grant Criddle,,Esperanza San Jose
Hanover Chrysler,hanoverchryslerdodge,602e21e8c2954e001e38c352,smediawebmastertool@gmail.com,UA-81637209-29,1189966127708015,1312709922092725,,,Kaleah Baker,,Esperanza San Jose
Harris Oceanside Chev Buick GMC,harrisoceansidegmcom,602e2a05c2954e001e38d5f6,smediaanalytic@gmail.com,UA-161444828-19,251846502649723,150686862968498,549-232-4496,,Ryan Yuhasz,,Nhoel Ditona
Hawkins Chevrolet,hawkinschevrolet,602e2602c2954e001e38cd21,smediaanalytic@gmail.com,UA-140422192-33,360078814865271,689873998114519,,,Grant Criddle,,Esperanza San Jose
Hayes Chevrolet,hayeschevroletcom,602e295fc2954e001e38d489,smediaanalytic@gmail.com,UA-157545294-37,2313366065627307,204791413930946,304-324-4884,,Grant Criddle,Homi Khan,Esperanza San Jose
Hayes Chrysler Dodge Jeep of Baldwin,hayeschryslerdodgejeepofbaldwincom,602e2957c2954e001e38d475,smediaanalytic@gmail.com,UA-157545294-38,611126496117411,500535904191780,349-641-7000,,Grant Criddle,Homi Khan,Esperanza San Jose
Hayes Chrysler Lawrenceville,hayeschryslerlawrencevillecom,602e295bc2954e001e38d47f,smediaanalytic@gmail.com,UA-157545294-39,576604282929903,193251115275314,527-194-1325,,Grant Criddle,Homi Khan,Esperanza San Jose
Heartland Ford,heartlandfordsalescom,602e2bbfc2954e001e38d9a2,smediaanalytic@gmail.com,UA-179984697-84,3411470162285572,201498934884299,,,Ryan Yuhasz,,Nhoel Ditona
Heartland Honda,heartlandhonda,602e228dc2954e001e38c4fa,smediawebmastertool@gmail.com,UA-71208701-1,1410009322370360,1681865411853670,302-970-7629,156003273,Devin Howell-Shiplack,Homi Khan,Kryzelle Campus
Heninger Toyota,heningertoyota,602e247dc2954e001e38c986,smediaanalytic@gmail.com,UA-40222132-1,297935674377704,952176748307878,894-164-5154,,Grant Criddle,Umer Khan,Esperanza San Jose
Heritage Honda Calgary,heritagehonda,602e2460c2954e001e38c944,smediaanalytic@gmail.com,UA-127273656-3,715000432009000,226478681095109,,,Erin Richmond,,Arnel Ditona
Hertz Billings,hertzbillingscom,602e2976c2954e001e38d4b8,smediaanalytic@gmail.com,UA-159081726-10,488085511863494,2601161143541821,707-296-6470,,Grant Criddle,Homi Khan,Esperanza San Jose
Hertz Idaho Falls,hertzidahofallscom,602e297ac2954e001e38d4c2,smediaanalytic@gmail.com,UA-159081726-12,3382916691738071,320100728945609,994-779-1980,,Grant Criddle,Homi Khan,Esperanza San Jose
Hertz Layton,hertzlaytoncom,602e297ec2954e001e38d4cc,smediaanalytic@gmail.com,UA-159081726-11,2853699321386290,1536101756566761,240-680-5468,,Grant Criddle,Homi Khan,Esperanza San Jose
Hertz Ogden,hertzogdencom,602e28acc2954e001e38d2f3,marshalsmedia@gmail.com,UA-154745040-38,482300846056465,2555683948001576,,,Grant Criddle,,Esperanza San Jose
Heuvelmans Chevrolet Buick GMC Cadillac,heuvelmanschev,602e2749c2954e001e38cfeb,smediaanalytic@gmail.com,UA-146366686-14,888148194894321,546597515879532,,,Ryan Yuhasz,,Nhoel Ditona
Hibbing Chrysler Center,hibbingchryslercenternet,602e2913c2954e001e38d3dc,smediaanalytic@gmail.com,UA-157545294-23,562825760985772,2598646423706496,,,Kaleah Baker,Umer Khan,Esperanza San Jose
"Hibbing Chrysler Center
",hibbingchryslercenternet,602e2913c2954e001e38d3dc,smediaanalytic@gmail.com,UA-157545294-23,562825760985772,2598646423706496,,,Ryan Yuhasz,,Nhoel Ditona
High Level Motor Products,highlevelmotorproducts,602e21edc2954e001e38c35e,,UA-81637209-37,1198957720142189,1020793404696300,105-836-4313,,Ryan Yuhasz,Umer Khan,Nhoel Ditona
High River Toyota,highrivertoyotaca,602e28eac2954e001e38d37f,smediaanalytic@gmail.com,UA-156597236-41,582139279004782,218752339298283,198-115-7972,156003729,Ryan Yuhasz,Homi Khan,Nhoel Ditona
Hillside Chevrolet Buick GMC Cadillac,hillsidechevrolet,602e26ecc2954e001e38cf23,smediaanalytic@gmail.com,UA-143782155-29,2376390112440826,2289675194483342,511-357-7139,,Ryan Yuhasz,Homi Khan,Nhoel Ditona
HJ Linnen Associates,failsafehouselifting,602e21d4c2954e001e38c322,smediawebmastertool@gmail.com,UA-91934241-1,,,879-347-2171,,,,
Holiday Auto Group,holidayautogroupcom,,,"UA-179984697-32	",352674365841416,3406414479441192,,,,,
Holiday Auto Group - Holiday Chevy Whitesboro,holidaychevy,,,"UA-113342254-30	",705623040335208,134330561399807,,,,,
Holiday Ford Gordon,holidaygordonfordcom,,,UA-179984697-36,732662367427612,600534287010121,,,,,
Hornbeck Chevrolet,hornbeckchevrolet,602e2519c2954e001e38cb02,smediaanalytic@gmail.com,UA-134636584-9,378729772950013,604732553285300,,,Kaleah Baker,,Kryzelle Campus
Huber Bannister Chevrolet Penticton,huberbannister,602e21f1c2954e001e38c369,smediawebmastertool@gmail.com,UA-91021639-42,1308647152506578,1092551234224037,426-206-8061,,Erin Richmond,Umer Khan,Arnel Ditona
Huffines Auto Group-Huffines Chrysler Jeep Dodge RAM Plano,huffineschryslerjeepdodgeramplanocom,,,"UA-185710316-37	",1503774593148329,863922107771732,,,,,
Hunter Motors Ltd.,huntermotors,602e2292c2954e001e38c507,smediawebmastertool@gmail.com,UA-100014029-27,1424247734279852,921261008026465,937-797-9125,,Grant Criddle,Umer Khan,Arnel Ditona
Huron Motor Products,hmpexeter,602e2580c2954e001e38cbf1,smediaanalytic@gmail.com,UA-115774864-1,300459047535158,646225099160952,,,Devin Howell-Shiplack,,Kryzelle Campus
Hyundai Gallery,hyundaigalleryca,602e2addc2954e001e38d7d1,smediaanalytic@gmail.com,UA-171699954-25,540705439438501,550334018455688,,,Kaleah Baker,,Arnel Ditona
Infiniti Gallery,infinitigallery,602e27b7c2954e001e38d0e7,smediaanalytic@gmail.com,UA-185710316-10,540709492771429,564235063746490,,,Erin Richmond,,Arnel Ditona
Innisfail Chrysler Dodge Jeep Ram,innisfailcdjrcom,602e2b59c2954e001e38d8d2,smediaanalytic@gmail.com,UA-179984697-9,352173162731833,1121322744952753,,,Devin Howell-Shiplack,,Kryzelle Campus
Integrity Group of Companies AG - Integrity Auto & RV,integrityrvca,,,UA-190651803-88,489382782110391,2619594631663374,,,,,
Interforce - BMW Auto Haus,bmwautohausca,,,"UA-185710316-72	",124630059560624,922768291474352,,,,,
Island GM,islandgm,,,"UA-40179181-1	",1737102043189253,240292802970576,,,,,
Jackson Dodge Chrysler Jeep Ram,jacksondodge,602e21fac2954e001e38c382,smediaanalytic@gmail.com,UA-84640068-1,1133638750007420,1991768127716138,253-319-6552,156002894,Devin Howell-Shiplack,Homi Khan,Kryzelle Campus
Jacksons of Enid CDJR,jacksonchryslerdodgejeep,602e279ac2954e001e38d0a5,smediaanalytic@gmail.com,UA-146366686-34,707175433117370,992466031095122,,,Ryan Yuhasz,,Arnel Ditona
James Braden Auto Group - James Braden Nissan Kingston,jamesbradennissanca,,,"UA-185710316-56	",739604936981217,4098297156860774,,,,,
Jays Transportation,jaystransportationgroup,,smediawebmastertool@gmail.com,UA-107116176-18,1637500656287891,871361936399709,,,,Homi Khan,
Jim Wilson Chevrolet,jimwilsonchevroletcom,602e2a2ac2954e001e38d64b,smediaanalytic@gmail.com,UA-165690643-33,294994924857120,736296627121857,103-954-7597,,Ryan Yuhasz,Homi Khan,Nhoel Ditona
Joe Cotton Ford,joecottonfordcom,602e28dcc2954e001e38d35d,smediaanalytic@gmail.com,UA-157545294-5,2574457362786476,168174407775402,592-032-9676,,Ryan Yuhasz,Homi Khan,
Johnson Honda of Stuart,johnsonhondaofstuartcom,602e2b0ac2954e001e38d832,smediaanalytic@gmail.com,UA-171699954-61,635151057202764,2680130118971228,,,Erin Richmond,,Arnel Ditona
"Johnson Hyundai of Cary
",johnsonhyundaicom,602e2b15c2954e001e38d848,smediaanalytic@gmail.com,UA-171699954-63,3254060971354197,325134048566273,,,Erin Richmond,,Arnel Ditona
Johnson Volvo of Durham,johnsonvolvocarsdurhamcom,602e2b10c2954e001e38d83d,smediaanalytic@gmail.com,UA-171699954-62,345115973568186,688763291724594,,,Erin Richmond,,Arnel Ditona
Jones Buick GMC Casa Grande,jonesbuickgmccasagrande,602e2613c2954e001e38cd48,smediaanalytic@gmail.com,UA-140422192-44,1050273588688151,231910557887977,,,Devin Howell-Shiplack,,Kryzelle Campus
Jones Chrysler Dodge Jeep Ram Wickenburg,joneschryslerdodgejeepramcom,602e29ddc2954e001e38d59f,smediaanalytic@gmail.com,UA-161444828-6,1179202672414188,1076078982775659,,,,,Kryzelle Campus
Jones Ford Buckeye,jonesfordbuckeye,602e2541c2954e001e38cb61,smediaanalytic@gmail.com,UA-134636584-34,218499156104348,223791905540590,948-053-4572,,Devin Howell-Shiplack,Homi Khan,Kryzelle Campus
Jones Ford Casa Grande,jonesfordcasagrande,602e261bc2954e001e38cd5a,smediaanalytic@gmail.com,UA-140422192-43,306916433589961,1562326273902084,,,Devin Howell-Shiplack,,Kryzelle Campus
Jones Ford Verde Valley,jonesfordverdevalley,602e2617c2954e001e38cd51,smediaanalytic@gmail.com,UA-140422192-45,1085832581599833,860191984344493,,,Devin Howell-Shiplack,,Kryzelle Campus
Jones Ford Wickenburg,jonesfordwickenburg,602e260fc2954e001e38cd3f,smediaanalytic@gmail.com,UA-140422192-42,392317201357569,332876300734660,,,Devin Howell-Shiplack,,Kryzelle Campus
Julio Jones Kia,juliojoneskia,602e2691c2954e001e38ce5a,smediaanalytic@gmail.com,UA-113485285-3,480661415836617,2440041712700316,211-153-0341,,Erin Richmond,Umer Khan,Arnel Ditona
Julio Jones Mazda,juliojonesmazda,602e2695c2954e001e38ce63,smediaanalytic@gmail.com,UA-113485285-2        ,2328978987418867,2889446264405237,848-373-6939,,Erin Richmond,Umer Khan,Arnel Ditona
Just for Fun Honda,justforfunhonda,602e2297c2954e001e38c514,smediawebmastertool@gmail.com,UA-96122244-20,1340781375959822,290570791355942,735-094-0990,,Kaleah Baker,Homi Khan,Kryzelle Campus
Kalispell Ford,kalispellfordcom,602e2881c2954e001e38d29c,marshalsmedia@gmail.com,UA-154745040-4,462908477987075,2614376385276401,661-492-3066,,Alyssa Podevin,Homi Khan,Kryzelle Campus
Kalispell Toyota,kalispelltoyota,602e2834c2954e001e38d1fe,smediaanalytic@gmail.com,UA-151218577-12,2672134372832259,967933753572906,764-880-3515,,,,Kryzelle Campus
Kalispell Volkswagen,kalispellvolkswagen,602e2758c2954e001e38d00c,smediaanalytic@gmail.com,UA-146366686-26,505605646674694,1314929118712993,563-901-9725,,,Homi Khan,Kryzelle Campus
Kamloops Kia,kamloopskiacom,,,"UA-190651803-79	",183714513642715,2031689650441485,,,,,
Kelowna Chevrolet,kelownachev,602e22c0c2954e001e38c575,,UA-69435812-1,1496440770393881,765761456941774,,,Regan Hinchcliffe,,
Kelowna Chevrolet                      ,kelownachev,602e22c0c2954e001e38c575,coaganalytics@gmail.com,UA-69435812-1,,765761456941774,,,Regan Hinchcliffe,,
Kelowna Honda Powerhouse,kelownahonda,602e2839c2954e001e38d20a,smediaanalytic@gmail.com,UA-151218577-18,1794237644042527,591722898038918,790-184-6421,,Devin Howell-Shiplack,,Kryzelle Campus
Kelowna Honda Powerhouse,kelownahonda,602e2839c2954e001e38d20a,smediaanalytic@gmail.com,UA-151218577-18,1794237644042527,591722898038918,,,Ryan Yuhasz,,Nhoel Ditona
Kelowna Hyundai,kelownahyundaicom,,,UA-169324917-43,459661608661325,2289256891380896,,,,,
Kent County Motor Sales Co,kentcountymotors,602e2670c2954e001e38ce16,smediaanalytic@gmail.com,UA-141626127-22,608816619613237,354310991934534,,,Ryan Yuhasz,,Nhoel Ditona
Key Chevrolet Buick GMC Cadillac of Burlington,keyautovt,,,"UA-148906878-47	",449567425912304,408300916712109,,,,,
Kia Cold Lake,kiacoldlakecom,,,"UA-185710316-62	",4264889783525162,275478313922888,,,,,
Kia Shrewsbury,wagnerkiaofshrewsburycom,602e28a2c2954e001e38d2df,marshalsmedia@gmail.com,UA-154745040-31,1114282908903791,481989109168542,,,Devin Howell-Shiplack,,
Kia Sudbury Motors,kiasudburycom,,,UA-190651803-83,1146848512443819,263498735132441,,,,,
Kingscross Hyundai,kingscrosshyundaica,602e29e6c2954e001e38d5b1,smediaanalytic@gmail.com,UA-68059231-1,310238966609352,417962582400093,754-552-8270,156003604,Devin Howell-Shiplack,Homi Khan,Kryzelle Campus
Kirksville Motor Company,kirksvillemotorco,5ea334431033fe0e326ac3c5,smediaanalytic@gmail.com,UA-137985131-36,450497639040135,2424671840897558,251-137-1578,,Devin Howell-Shiplack,,Kryzelle Campus
"Kirksville Motor Company Chevrolet, Buick, GMC",kirksvillemotorcompany,,smediaanalytic@gmail.com,UA-137985131-35,403342290501456,316558525695235,389-534-3741,,Devin Howell-Shiplack,,
Kirksville Toyota,kirksvilletoyota,602e25a4c2954e001e38cc41,smediaanalytic@gmail.com,UA-137985131-34,,316899922325562,,,Devin Howell-Shiplack,,
Kline Nissan,klinenissancom,602e2a2fc2954e001e38d657,smediaanalytic@gmail.com,UA-165690643-32,250109626101919,253388619305250,379-669-0097,,Ryan Yuhasz,,Nhoel Ditona
Kline Nissan,klinenissancom,,,"UA-165690643-32	",,253388619305250,379-669-0097,,,,
Knight Dodge Chrysler Jeep Ram,knightdodge,,smediawebmastertool@gmail.com,UA-84678359-1,1133642136673748,331623410504319,,156002891,Devin Howell-Shiplack,Homi Khan,
Knight Ford Lincoln,knightfordlincoln,5fb6c81494138d001dfde5ee,smediawebmastertool@gmail.com,UA-42553815-45,1082383648466264,680407008774029,827-507-5798,156002895,Devin Howell-Shiplack,Homi Khan,Kryzelle Campus
Knight Lincoln,knightlincoln,602e2523c2954e001e38cb17,smediawebmastertool@gmail.com,UA-135694917-1,,1366838683471564,,156003061,Devin Howell-Shiplack,,
Knight Nissan,knightnissan,5fb6c80994138d001dfde5e2,smediawebmastertool@gmail.com,UA-84717301-1,1133642050007090,183060605454892,,156002892,Devin Howell-Shiplack,Homi Khan,
Knight Weyburn Chrysler Dodge Jeep Ram,knightdodgeofweyburn,5fb6c81e94138d001dfde5f9,smediawebmastertool@gmail.com,UA-84647156-1,1133642223340406,1107980129287201,760-104-7621,156002893,Alyssa Podevin,Homi Khan,Kryzelle Campus
KOT Auto Group - Kelowna Kia,kelownakiacom,,smediaanalytic@gmail.com,UA-169324917-42,374378086863232,367660227541710,721-841-5190,,Devin Howell-Shiplack,,Arnel Ditona
Kross Auto,krossautocom,,,"UA-190651803-14	",356212512463664,1931255216981435,,,,,
L.H. Bradley & Son Ltd.,bradleygm,,smediaanalytic@gmail.com,UA-134636584-17,2040111986293692,306899133354093,,,Kaleah Baker,,Kryzelle Campus
Laird Wheaton Chev Buick GMC Cadillac,lairdwheaton,602e220fc2954e001e38c3b8,marshalsmedia@gmail.com,UA-17419072-2,958809850823645,902175049878813,117-841-6523,,Grant Criddle,Umer Khan,Arnel Ditona
Lakehead Motors,lakeheadmotorsca,,,"UA-185710316-35	",1.07573E+15,239128627680995,,,,,
Lakeland Ford,lakelandfordpacom,602e2a9fc2954e001e38d74c,smediaanalytic@gmail.com,UA-169324917-47,554409171901620,596960904556478,511-038-1617,,Ryan Yuhasz,Homi Khan,Nhoel Ditona
Lakeland Hyundai,lakelandhyundaipa,602e2214c2954e001e38c3c5,smediawebmastertool@gmail.com,UA-104745206-15,1477079238996701,1947844998804636,369-540-8446,,Ryan Yuhasz,Homi Khan,Nhoel Ditona
Lakewood Chevrolet,lakewoodchev,602e2370c2954e001e38c724,coaganalytics@gmail.com,UA-9232802-11,306074816969999,299457950997335,,,Regan Hinchcliffe,,Kryzelle Campus
Laking Toyota,lakingtoyotacom,,,,,,,,,,
Langen Health & Safety,shoplangenhealthandsafetyca,,,UA-167380325-30,2013421078804221,544128626271116,,,,,
Langen Health and Safety,langenhealthandsafetyca,,,"UA-167380325-30	",,,,,,,
Langley Toyota,langleytoyotacom,602e2a46c2954e001e38d68b,smediaanalytic@gmail.com,UA-167380325-7,719299002002069,657499021819385,613-876-2811,,Devin Howell-Shiplack,Homi Khan,Kryzelle Campus
Larsen Auto Center,larsenfrederic,602e250bc2954e001e38cada,smediaanalytic@gmail.com,UA-134636584-2,389014301933067,2231415323798320,259-794-9535,,Devin Howell-Shiplack,Homi Khan,Kryzelle Campus
Lauria Hyundai,lauriahyundai,602e2803c2954e001e38d191,smediaanalytic@gmail.com,UA-148906878-29,393862094884229,446891799265072,,,Ryan Yuhasz,,
Lauria VW,lauriavolkswagen,602e2808c2954e001e38d19c,smediaanalytic@gmail.com,UA-148906878-28,400042277554300,2371049239660941,,,Ryan Yuhasz,,
Ledingham GM,ledinghamgm,5fc87db3aec401001d0dbc1c,smediaanalytic@gmail.com,UA-140422192-37,377977272819701,1438334656309242,213-610-3468,156002829,Devin Howell-Shiplack,Umer Khan,Arnel Ditona
Lee CDJR ,leechryslerdodgeramjeep,,,"UA-113480963-47	",219464489332325,243966903441069,,,,,
Leslie Motors,lesliemotorscom,602e2a4bc2954e001e38d697,smediaanalytic@gmail.com,UA-167380325-25,1368984430148838,2647688695551520,522-417-1111,,Ryan Yuhasz,,Nhoel Ditona
Lethbridge Toyota,lethbridgetoyota,602e248ac2954e001e38c9a7,,UA-118985773-46,286674965350373,340462996797196,286-723-5884,156002830,Devin Howell-Shiplack,,Kryzelle Campus
Lia CJDR,liachryslerdodgejeepramcom,,smediaanalytic@gmail.com,UA-157545294-7,53797099,376907945832829,,,Erin Richmond,,
